ATTACK_Technique_ID,Detection_Count,OTD_IDs
T0800,3,OTD-0037;OTD-0119;OTD-0120
T0801,1,OTD-0135
T0804,5,OTD-0008;OTD-0055;OTD-0071;OTD-0098;OTD-0102
T0806,1,OTD-0123
T0810,1,OTD-0123
T0811,2,OTD-0127;OTD-0135
T0812,2,OTD-0011;OTD-0022
T0813,1,OTD-0180
T0814,5,OTD-0023;OTD-0116;OTD-0146;OTD-0153;OTD-0170
T0815,2,OTD-0049;OTD-0193
T0816,8,OTD-0004;OTD-0005;OTD-0007;OTD-0058;OTD-0074;OTD-0076;OTD-0079;OTD-0154
T0817,1,OTD-0085
T0822,9,OTD-0001;OTD-0064;OTD-0140;OTD-0161;OTD-0167;OTD-0174;OTD-0187;OTD-0188;OTD-0190
T0826,5,OTD-0105;OTD-0112;OTD-0122;OTD-0130;OTD-0131
T0829,1,OTD-0124
T0831,8,OTD-0061;OTD-0090;OTD-0103;OTD-0124;OTD-0168;OTD-0178;OTD-0191;OTD-0194
T0832,1,OTD-0195
T0835,4,OTD-0043;OTD-0048;OTD-0053;OTD-0194
T0836,15,OTD-0029;OTD-0040;OTD-0065;OTD-0097;OTD-0104;OTD-0144;OTD-0148;OTD-0151;OTD-0157;OTD-0160;OTD-0169;OTD-0177;OTD-0182;OTD-0191;OTD-0192
T0837,12,OTD-0039;OTD-0042;OTD-0044;OTD-0045;OTD-0050;OTD-0051;OTD-0052;OTD-0054;OTD-0055;OTD-0056;OTD-0119;OTD-0196
T0838,1,OTD-0040
T0839,5,OTD-0028;OTD-0037;OTD-0091;OTD-0134;OTD-0163
T0840,4,OTD-0013;OTD-0078;OTD-0082;OTD-0184
T0843,9,OTD-0006;OTD-0033;OTD-0067;OTD-0072;OTD-0083;OTD-0088;OTD-0090;OTD-0116;OTD-0189
T0845,2,OTD-0034;OTD-0181
T0846,18,OTD-0014;OTD-0060;OTD-0066;OTD-0068;OTD-0069;OTD-0073;OTD-0115;OTD-0139;OTD-0140;OTD-0141;OTD-0145;OTD-0152;OTD-0158;OTD-0166;OTD-0173;OTD-0179;OTD-0185;OTD-0186
T0847,2,OTD-0020;OTD-0100
T0851,4,OTD-0071;OTD-0102;OTD-0121;OTD-0133
T0855,25,OTD-0003;OTD-0009;OTD-0029;OTD-0030;OTD-0031;OTD-0032;OTD-0061;OTD-0062;OTD-0063;OTD-0065;OTD-0070;OTD-0075;OTD-0077;OTD-0095;OTD-0097;OTD-0103;OTD-0104;OTD-0106;OTD-0131;OTD-0139
T0856,16,OTD-0010;OTD-0025;OTD-0043;OTD-0046;OTD-0047;OTD-0048;OTD-0059;OTD-0098;OTD-0106;OTD-0115;OTD-0149;OTD-0150;OTD-0156;OTD-0175;OTD-0193;OTD-0195
T0857,1,OTD-0012
T0858,7,OTD-0017;OTD-0027;OTD-0035;OTD-0062;OTD-0092;OTD-0096;OTD-0120
T0859,13,OTD-0015;OTD-0064;OTD-0086;OTD-0087;OTD-0093;OTD-0110;OTD-0116;OTD-0117;OTD-0119;OTD-0138;OTD-0162;OTD-0165;OTD-0176
T0860,1,OTD-0026
T0861,1,OTD-0021
T0866,1,OTD-0081
T0867,7,OTD-0018;OTD-0072;OTD-0095;OTD-0096;OTD-0101;OTD-0107;OTD-0125
T0868,1,OTD-0038
T0871,1,OTD-0067
T0873,2,OTD-0134;OTD-0164
T0878,2,OTD-0016;OTD-0042
T0879,1,OTD-0103
T0880,4,OTD-0039;OTD-0041;OTD-0057;OTD-0196
T0882,1,OTD-0024
T0883,8,OTD-0002;OTD-0073;OTD-0089;OTD-0101;OTD-0117;OTD-0126;OTD-0136;OTD-0137
T0885,2,OTD-0019;OTD-0171
T0886,4,OTD-0080;OTD-0082;OTD-0094;OTD-0099
T0888,6,OTD-0060;OTD-0066;OTD-0068;OTD-0069;OTD-0128;OTD-0183
T0889,1,OTD-0036
